Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Terrain,Observer Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur,Deuxième mesure de l’épaisseur,Terrain,Initiales de l’observateur
9,8,2013,85,24,35,H,"MBe, AG"
9,8,2013,86,19,20,FG,"MBe, AG"
9,8,2013,87,25,24,FG,"MBe, AG"
9,8,2013,88,25,22,FG,"MBe, AG"
9,8,2013,89,21,22,H,"MBe, AG"
9,8,2013,90,22,24,H,"MBe, AG"
9,8,2013,91,31,29,FG,"MBe, AG"
9,8,2013,92,24,30,H,"MBe, AG"
9,8,2013,93,23,30,FG,"MBe, AG"
9,8,2013,94,25,30,H,"MBe, AG"
9,8,2013,95,30,27,FG,"MBe, AG"
9,8,2013,96,30,32,FG,"MBe, AG"
9,8,2013,97,25,24,H,"MBe, AG"
9,8,2013,98,22,20,FG,"MBe, AG"
9,8,2013,99,23,23,H,"MBe, AG"
9,8,2013,100,21,19,FG,"MBe, AG"
4,8,2014,1,19.5,15,FG,"MM, MNQ"
4,8,2014,2,25,26,R,"MM, MNQ"
4,8,2014,3,21,21,R,"MM, MNQ"
4,8,2014,4,27,23,FG,"MM, MNQ"
4,8,2014,5,29,28,R,"MM, MNQ"
4,8,2014,6,20,23,FG,"MM, MNQ"
4,8,2014,7,20,19,FG,"MM, MNQ"
4,8,2014,8,24,26,FG,"MM, MNQ"
4,8,2014,9,30,35,FG,"MM, MNQ"
4,8,2014,10,38,34,FG,"MM, MNQ"
4,8,2014,11,36,39,FG,"MM, MNQ"
4,8,2014,12,31,31,R,"MM, MNQ"
4,8,2014,13,29,26.5,R,"MM, MNQ"
4,8,2014,14,30,27,R,"MM, MNQ"
4,8,2014,15,22,23,FG,"MM, MNQ"
4,8,2014,16,23,22,FG,"MM, MNQ"
4,8,2014,17,28,25,FG,"MM, MNQ"
4,8,2014,18,23,23,FG,"MM, MNQ"
4,8,2014,19,22,23,FG,"MM, MNQ"
4,8,2014,20,31,37,FG,"MM, MNQ"
4,8,2014,21,32,35,R,"MM, MNQ"
4,8,2014,22,26,25,FG,"MM, MNQ"
4,8,2014,23,26,26,FG,"MM, MNQ"
4,8,2014,24,20,21,FG,"MM, MNQ"
4,8,2014,25,32,36.5,FG,"MM, MNQ"
4,8,2014,26,24,23,FG,"MM, MNQ"
4,8,2014,27,21,20.5,R,"MM, MNQ"
4,8,2014,28,19,17,FG,"MM, MNQ"
4,8,2014,29,41,41,FG,"MM, MNQ"
4,8,2014,30,33,33,FG,"MM, MNQ"
4,8,2014,31,42,23,FG,"MM, MNQ"
4,8,2014,32,29,27,FG,"MM, MNQ"
4,8,2014,33,24,21,R,"MM, MNQ"
4,8,2014,34,21,20,FG,"MM, MNQ"
4,8,2014,35,27,24.5,FG,"MM, MNQ"
4,8,2014,36,26,27,R,"MM, MNQ"
